frame;ball x;ball y;ball velocity;inside;zone;centroid x_home;centroid y_home;centroid_zone_home;rest defence_home;width_home;length_home;occupancy map_home;team distance_home;centroid x_away;centroid y_away;centroid_zone_away;rest defence_away;width_away;length_away;occupancy map_away;team distance_away;close to ball
1;-4.2108500000000015;-7.976467999999999;;True;8.0;10.094570800000001;-5.1639608;11.0;9.0;35.080859999999994;25.738919999999997;[1, 1, 0, 0, 6, 1, 0, 1];8.680588798628868;-2.2462036000000003;-1.2674927999999999;8.0;5.0;60.86795599999999;31.771274000000005;[0, 1, 0, 0, 2, 4, 1, 2];9.02893817877119;Home
11;-7.553878;-17.627435999999996;28.560805328281635;True;9.0;10.0479308;-6.105053600000001;11.0;10.0;35.32769999999999;25.332834;[0, 1, 0, 0, 6, 3, 0, 0];9.702954831832463;-1.6722877999999999;-1.8570799999999987;8.0;3.0;61.266504;32.389466;[0, 0, 0, 1, 3, 6, 0, 0];10.760712497227713;Away
21;-7.182348;-20.427675999999998;2.9057007760608315;True;9.0;10.1639266;-7.137878400000001;11.0;10.0;35.427388;24.643622;[0, 0, 0, 0, 5, 5, 0, 0];9.245416010311711;-0.9738326;-2.5690876;8.0;2.0;61.505455999999995;33.046666;[1, 0, 0, 0, 3, 6, 0, 0];10.939564967778296;Away
31;-6.145137999999999;-20.814867999999997;2.765478304019058;True;9.0;10.325661399999998;-8.100731200000002;11.0;10.0;35.446836;23.920172;[0, 1, 0, 0, 5, 4, 0, 0];8.189946945133013;-0.23646480000000025;-3.2443955999999994;8.0;3.0;61.649412;33.450950000000006;[1, 0, 0, 0, 3, 6, 0, 0];10.68162601464417;Away
41;-4.389248;-20.411492000000003;2.537698563659661;True;9.0;10.513567600000002;-8.8827244;11.0;10.0;35.345652;23.087542;[0, 1, 0, 0, 5, 4, 0, 0];6.951938803181199;0.5268094000000005;-3.8263599999999998;11.0;4.0;61.650499999999994;33.563098;[0, 0, 1, 0, 3, 6, 0, 0];9.918640557355662;Away
51;1.4262300000000012;-16.040588;20.190680647268955;True;12.0;10.687895200000002;-9.3954104;11.0;8.0;35.046928;22.213572;[1, 1, 1, 0, 3, 3, 0, 1];6.046730538917355;1.2724558000000004;-4.2408676;11.0;5.0;61.494848;33.27742800000001;[1, 0, 1, 0, 1, 5, 1, 1];8.839662888477323;nan
61;5.179583999999998;-13.019212;20.190680647268813;True;12.0;10.8078978;-9.567083200000003;11.0;8.0;34.704344;21.475282000000004;[1, 1, 2, 0, 3, 2, 0, 1];5.470718289149959;1.9352737999999996;-4.4359324;11.0;6.0;61.229512;32.544226;[0, 1, 0, 0, 1, 5, 2, 1];8.296239601127313;Away
71;4.942461999999998;-12.285152;1.1994415367162188;True;12.0;10.8497572;-9.377771200000002;11.0;8.0;34.449819999999995;20.553400000000003;[1, 1, 2, 0, 3, 2, 0, 1];6.222690217776439;2.49153;-4.366783199999999;11.0;5.0;60.832119999999996;31.559168000000003;[0, 1, 0, 1, 1, 4, 2, 1];8.03509635736177;Away
81;3.466730000000002;-7.746288000000002;14.779684874854334;True;11.0;10.857654199999999;-8.845392400000001;11.0;8.0;34.23242400000001;20.03771;[1, 0, 1, 1, 4, 1, 0, 2];8.0939824250314;2.9413092000000005;-4.0199696;11.0;5.0;60.32490800000001;30.543794;[0, 1, 0, 1, 2, 3, 1, 2];8.537391450579639;Home
91;1.807193999999999;-2.5837279999999994;14.779684874854345;True;11.0;10.904092799999999;-8.0206884;11.0;8.0;34.108188000000006;19.529228000000003;[1, 0, 0, 1, 3, 1, 0, 4];10.042027816998948;3.342975;-3.4283015999999997;11.0;5.0;59.6819;29.589157999999998;[0, 1, 1, 1, 2, 2, 1, 2];9.867062985749053;Away
101;1.6168179999999999;-0.45872800000000014;3.866363052016697;True;11.0;11.039507799999999;-6.946234;11.0;9.0;34.16422;19.14042;[0, 0, 0, 1, 4, 1, 0, 4];12.058666130814771;3.7645688000000006;-2.6177416;11.0;4.0;58.78532;28.77953;[0, 1, 1, 0, 2, 2, 1, 3];11.285455188201425;Away
111;1.883938;1.2935640000000002;4.3982269154740425;True;11.0;11.3135284;-5.652806;11.0;9.0;34.366112;18.983434000000003;[0, 0, 0, 1, 4, 1, 0, 4];13.478234631926581;4.271747;-1.6572416;11.0;4.0;57.635644;28.302529999999997;[0, 1, 1, 0, 2, 2, 1, 3];12.435568267807229;Away
121;2.3667680000000013;3.2019159999999993;4.890613995195402;True;11.0;11.7777448;-4.2466816;11.0;9.0;34.611999999999995;19.303554;[0, 0, 0, 1, 4, 1, 0, 4];14.45502235905711;4.9120294;-0.6174535999999989;11.0;4.0;56.488348;28.295534000000004;[0, 1, 1, 0, 2, 2, 1, 3];13.203448053689067;Away
131;3.080571999999999;5.272176;5.505270928846342;True;11.0;12.446594200000002;-2.8112492;11.0;9.0;34.847212;20.000716;[0, 0, 0, 1, 4, 1, 0, 4];15.16423235403727;5.670735;0.47074360000000065;11.0;4.0;55.39966799999999;28.136215999999997;[0, 1, 1, 0, 2, 2, 1, 3];13.335334123363781;Away
141;3.996305999999997;7.39024;5.845828790684756;True;11.0;13.280570399999997;-1.3803455999999996;11.0;9.0;35.039108;20.922704;[0, 0, 0, 1, 4, 1, 0, 4];15.220299091616175;6.498626799999999;1.5823056000000004;11.0;4.0;54.556468;27.909906000000003;[0, 1, 1, 0, 2, 2, 1, 3];12.93096324030469;Away
151;5.129446;9.381348;5.746308749971467;True;11.0;14.233319599999998;-0.020950800000000314;11.0;9.0;35.03836;21.825718000000002;[0, 0, 0, 1, 5, 0, 0, 4];14.8897857189432;7.355138600000001;2.679397200000001;11.0;4.0;54.12759199999999;28.305604000000002;[0, 1, 1, 0, 1, 1, 2, 4];12.513137033968631;Away
161;6.444058000000001;11.287184;5.813121816201588;True;11.0;15.25446;1.2405308;11.0;9.0;34.861152000000004;22.556588;[1, 0, 0, 1, 4, 0, 0, 4];14.41742228004604;8.2059158;3.7466367999999997;11.0;4.0;53.835871999999995;28.155614000000003;[0, 1, 1, 0, 1, 1, 2, 4];12.14830867611003;Away
171;7.876859999999999;13.110876000000001;5.876027314436024;True;10.0;16.2605696;2.4377116;11.0;9.0;35.437996;22.976136;[2, 0, 0, 1, 3, 0, 0, 4];13.73215214033496;9.0379416;4.765834400000001;11.0;4.0;53.507636;28.205963999999994;[0, 1, 1, 0, 1, 1, 2, 4];11.723590707723062;Away
181;9.424883999999999;14.697928000000001;5.494191046004781;True;10.0;17.211050399999998;3.5656615999999994;11.0;8.0;36.148528;23.740926;[2, 0, 0, 1, 3, 0, 0, 4];13.189658467591592;9.8620068;5.696625199999999;11.0;4.0;53.054756;28.5193;[1, 0, 1, 0, 1, 1, 1, 5];11.553378187435229;Away
191;11.754658000000001;18.011295999999998;5.434342002487652;True;10.0;18.0873418;4.651472000000001;14.0;8.0;36.855864;24.416676000000006;[2, 0, 0, 1, 2, 0, 0, 5];12.752740688112004;10.704251;6.555383600000001;11.0;5.0;52.358912000000004;28.796066;[0, 0, 0, 1, 1, 1, 2, 5];11.565143436468318;Away
201;15.10712;24.481836;18.337069695019945;True;10.0;18.8652546;5.721275199999999;14.0;8.0;37.583667999999996;24.953035999999997;[0, 0, 0, 1, 1, 0, 0, 8];12.205134830783928;11.5638368;7.380237199999999;11.0;6.0;51.456484;29.02068;[0, 0, 0, 1, 0, 1, 2, 6];11.82870231541885;nan
211;18.348812;30.788088000000005;18.309799596118445;True;13.0;19.544269400000005;6.756378000000001;14.0;6.0;38.198864;25.344493999999997;[1, 0, 0, 1, 0, 0, 0, 8];11.318327310008637;12.418642;8.220717200000001;11.0;6.0;50.495847999999995;29.20512;[0, 1, 0, 0, 0, 0, 1, 8];11.907056377115241;Away
221;18.873724;32.553096;1.3319613357751223;True;13.0;20.092215200000002;7.7336468000000025;14.0;6.0;38.628488000000004;25.602921999999996;[0, 0, 0, 2, 0, 0, 0, 8];10.100699256162773;13.2197158;9.079489200000001;11.0;7.0;49.557924;29.41023;[0, 0, 1, 0, 0, 0, 1, 8];11.667822152384923;Away
231;18.206135999999997;32.503524000000006;1.6473038578234747;True;13.0;20.443043399999997;8.6342932;14.0;8.0;38.833507999999995;25.806548000000003;[1, 0, 0, 1, 0, 0, 0, 8];8.636581541883732;13.881240599999998;9.9557032;11.0;6.0;48.68521200000001;29.631558000000002;[0, 0, 1, 0, 0, 0, 1, 8];10.929345921475958;Away
241;17.294112;32.39452;2.216254554422925;True;10.0;20.528437000000004;9.4190676;14.0;8.0;38.662964;25.782168000000002;[1, 0, 0, 1, 0, 0, 0, 8];7.885973474081534;14.3038308;10.805778;11.0;6.0;47.80978;29.845148000000005;[0, 0, 1, 0, 0, 0, 1, 8];9.756067612060015;Away
251;16.013102;32.172228000000004;3.3830248299414203;True;10.0;20.2939332;10.0549424;14.0;8.0;38.571776;25.575362000000005;[1, 0, 0, 1, 0, 0, 0, 8];8.38825115635349;14.399580599999998;11.573348400000002;10.0;6.0;46.934552;29.973514;[0, 0, 1, 0, 0, 0, 1, 8];8.761608755103925;Away
261;14.45363;31.858272;4.00598801795522;True;10.0;19.731963599999997;10.5468272;14.0;8.0;38.5271;25.233511999999997;[1, 0, 0, 1, 1, 0, 0, 7];9.183212720414321;14.1445022;12.2292152;10.0;5.0;46.100668;29.972135999999995;[0, 0, 1, 0, 1, 0, 2, 6];8.578326468915925;Away
271;12.765156;31.535408;4.272407869106308;True;10.0;18.9106968;10.8906556;14.0;8.0;38.25884;24.713899999999995;[1, 0, 0, 1, 1, 0, 0, 7];9.94187846989663;13.575229199999999;12.76445;10.0;5.0;45.358244000000006;29.776565999999995;[0, 0, 1, 0, 2, 0, 2, 5];9.103387159263143;Away
